Name,Lifetime[5],Nationality,Notable as,Notes[6]
Michel Foucault,1926–1984,French,"Philosopher, historian",B[140]
Kim Fountain,b. 1968,American,"LGBT activist, businesswoman",L[141]
Vincent Fourcade,1934–1992,French,Interior designer,G[142]
Caroline Fourest,b. 1975,French,"Writer, journalist, documentary filmmaker, radio presenter",L[143]
John Fowler,b. 1954,Australian,Politician,G[144]
Simon Fowler,b. 1965,English,Rock musician (Ocean Colour Scene),G[145]
Eytan Fox,b. 1964,Israeli,Film director,G[146]
Gordon D. Fox,b. 1961,American,Politician,G[147]
Greg Fox,b. 1961,American,Cartoonist,G[148]
Megan Fox,b. 1986,American,"Model, actor",B[149]
Samantha Fox,b. 1966,English,"Model, pop musician",L[150]
Virgil Fox,1912–1980,American,Classical musician,G[151]
Isabel Franc,b. 1955,Spanish,Writer,L[152]
Larissa França,b. 1982,Brazilian,Beach volleyball player,L[153]
Tan France,b. 1983,English,"Fashion designer, TV personality",G[154]
David France,b. ?,American,"Journalist, filmmaker",G[155]
Adrianna Franch,b. 1990,American,Soccer player,L[156]
Brian Francis,b. 1971,Canadian,Novelist,G[157]
Samuel Kensinger Francis,b. 1974,American,"Fitness journalist, trainer",G[158]
Kay Francis,1905–1968,American,Actor,B[159]
Horacio Franco,b. 1963,Mexican,Musician,G[160]
Marielle Franco,1979-2018,Brazilian,"Politician, human rights activist",B[161]
Barney Frank,b. 1940,American,Politician,G[162]
Connor Franta,b. 1992,American,YouTube personality,G[163]
Scott Frantz,b. 1996,American,1st openly gay college football player to play in a game for an NCAA Division I Football Bowl Subdivision school,G[164]
Daniel Franzese,b. 1978,American,Actor,G[165]
Andy Fraser,1952–2015,English,"Rock musician, bass guitarist (Free)",G[166]
John Fraser,b. 1931,Scottish,Actor,G[167]
Margo Frasier,b. ?,American,First openly lesbian sheriff elected to office,L[168]
Peter Frechette,b. 1956,American,Actor,G[169]
Frederick the Great,1712–1786,Prussian,Head of state,G[170][171]
Big Freedia,b. 1978,American,Musician,G[172]
Marcia Freedman,b. 1938,American-Israeli,Activist,L[173]
Alan Freeman,1927–2006,Australian,Radio DJ,B[174]
Chris Freeman,b. 1961,American,Rock musician (Pansy Division),G[175]
Mike Freer,b. 1960,English,Politician,G[176]
Jared French,1905–1988,American,Painter,B[177]
Kevin Fret,1994–2010,Puerto Rican,Trap musician,G[178]
Elsa von Freytag-Loringhoven,1874–1927,German-American,"Artist, poet",B[179]
Aaron Fricke,b. 1962,American,"Gay rights activist, author",G[180]
Jonathan Frid,1924–2012,Canadian,Actor,G[181]
Sigrid Fridman,1879–1963,Swedish,Sculptor,L[182]
Benedict Friedländer,1866–1908,German,"Early gay rights activist, author",G[183]
Prince Friedrich Heinrich Albrecht of Prussia,1874–1940,Prussian,"Royal, military officer",G[184]
Robert Friend,1913–1998,American-Israeli,"Poet, translator",G[185]
Matthias Frings,b. 1953,German,"Journalist, TV presenter, writer",G[186]
Lonnie Frisbee,1949–1993,American,Evangelist,G[187]
Peter Frödin,b. 1964,Danish,"Actor, singer, comedian",G[188]
Stephen Fry,b. 1957,English,"Actor, comedian, novelist",G[189]
Marilyn Frye,b. 1941,American,Academic,L[190]
Joe Fryer,b. 1977,American,Journalist,G[191]
Alberto Fuguet,b. 1963,Chilean,"Film director, writer",G[192]
Tadd Fujikawa,b. 1991,American,Golfer,G[193]
Michiyo Fukaya,1953–1987,American,"Writer, activist",L[194]
Ladislav Fuks,1923–1994,Czech,Writer,G[195]
Adrian Fulford,b. 1953,English,Judge,G[196]
Bryan Fuller,b. 1969,American,TV writer,G[197]
Janine Fuller,b. 1958,Canadian,Businessperson and writer,L[198]
Loie Fuller,1862–1928,American,Dancer,G[199]
Brenda Sue Fulton,b. ?,American,Military veteran,L[200]
Richard Fung,b. 1954,Canadian,Video artist,G[201]
Wes Funk,1969–2015,Canadian,Writer,G[202]
David Furnish,b. 1962,Canadian,Filmmaker,G[203]
Kid Fury,b. 1987,American,YouTube personality and podcaster,G[204]
Douglas Futuyma,b. 1942,American,Biologist,G[205]
Gaahl,b. 1975,Norwegian,Black Metal vocalist (Gorgoroth),G[7]
Seth Gaaikema,1939–2014,Dutch,"Entertainer, writer",G[8]
Stefano Gabbana,b. 1962,Italian,"Fashion designer, Dolce & Gabbana",G[9]
Davit Gabunia,b. 1982,Georgian,"Playwright, translator",G[10]
Hannah Gadsby,b. 1978,Australian,"Comedian, writer, actor, TV presenter",L[11]
John Wayne Gacy,1942–1994,American,Serial killer,G
Maria Gadú,b. 1986,Brazilian,"Singer, musician",L[12]
Tracy Gahan,b. 1980,American,Basketball player,L[13]
Edward Gal,b. 1970,Dutch,Dressage rider,G[14]
Patrick Gale,b. 1962,English,Author,G[15]
Cathleen Galgiani,b. 1964,American,Politician,L[16]
Erzsébet Galgóczi,1930–1989,Hungarian,"Playwright, screenwriter",L[17]
Damon Galgut,b. 1963,South African,"Playwright, novelist",G[18]
Paolo Galimberti,b. 1968,Italian,"Politician, entrepreneur",G[19]
María Galindo,b. 1964,Bolivian,"Psychologist, feminist, radio presenter, TV presenter, writer",L[citation needed]
Rudy Galindo,b. 1969,American,Figure skater,G[20]
Vicky Galindo,b. 1983,American,"Softball player, coach",B[21]
Anya Gallaccio,b. 1963,Scottish,Artist,L[22]
Tom Gallagher,1940–2018,American,Diplomat and 1st officer of the U.S. Foreign Service to come out as gay,G[23]
Simon Gallaher,b. 1958,Australian,Artist,B[24]
John Galliano,b. 1960,Gibraltarian-British,Fashion designer,G[22]
Steve Galluccio,b. ?,Canadian,Screenwriter,G[25]
Ron Galperin,b. 1963,American,"Politician, lawyer",G[26]
Noah Galvin,b. 1994,American,Actor,G[27]
Jeanne Galzy,1883–1977,French,Author,L[28]
Paul Gambaccini,b. 1949,British-American,Radio and TV presenter,G[29]
Philip Gambone,b. 1948,American,Writer,G[30]
McCrae Game,b. ?,American,Former conversion therapy founder,G[31]
Herbert Ganado,1906–1979,Maltese,Politician,G[32]
Nisha Ganatra,b. 1974,Canadian,"Director, actor",L[33]
Vice Ganda,b. 1976,Filipino,"Actor, comedian, TV host, recording artist",G[34]
Jeff Gannon,b. 1958,American,Columnist,B[35]
Robert Gant,b. 1968,American,Actor,G[36]
Emperor Gaozu of Han,c. 256–195 BC,Chinese (Han Dynasty),Head of state,B[37]
Victor Garber,b. 1949,Canadian,Actor,G[38]
Greta Garbo,1905–1990,Swedish,Actor,B[39]
Kany García,b. 1982,Puerto Rican,"Pop singer, musician",L[40]
Lambda Garcia,b. 1987,Mexican,Actor,G[41]
Leo García,b. 1970,Argentine,Pop singer,G[42]
Robert Garcia,b. 1977,Peruvian-American,Politician,G[43]
Federico García Lorca,1898–1936,Spanish,"Poet, dramatist",G[44]
Edda Garðarsdóttir,b. 1979,Icelandic,Footballer. coach,L[45]
Jonas Gardell,b. 1963,Swedish,"Author, playwright, comedian",G[46]
Jason Gardiner,b. 1971,Australian,"Choreographer, singer, theatre producer",G[47]
Randy Gardner,b. 1958,American,Figure skater,G[48]
Chris Garneau,b. 1982,American,Singer-songwriter,G[49]
Randall Garrison,b. 1951,Canadian,Politician,G[50]
Sam Garrison,1942–2007,American,"Lawyer, defended Nixon during impeachment trial",G[51]
Krzysztof Garwatowski,b. 1967,Polish,"LGBT activist, journalist, publisher",G[52]
Alicia Garza,b. 1981,American,"Activist, co-founder of Black Lives Matter",L[53]
Anders Gåsland,b. 1968,Norwegian,Politician,G[54]
Alicia Gaspar de Alba,b. 1958,American,Writer,L[55]
Stephen Gately,1976–2009,Irish,"Pop musician (Boyzone), actor",G[56]
Mark Gatiss,b. 1966,English,"Actor, writer",G[30]
Sylvain Gaudreault,b. 1970,Canadian,Politician,G[57]
Jean-Paul Gaultier,b. 1952,French,Fashion designer,G[58]
Kerry Gauthier,b. 1955,American,Politician,G[59]
Mary Gauthier,b. 1962,American,"Singer, songwriter",L[60]
Jordan Gavaris,b. 1989,Canadian,Actor,G[61]
Roxane Gay,b. 1974,American,Writer,B[62]
Darrin P. Gayles,b. 1966,American,Judge of the United States District Court,G[63]
Jane Geddes,b. 1960,American,Golfer,L[64]
Megan Rose Gedris,b. 1986,American,"Comic artist, writer",L[65]
Vera Gedroitz,1876–1932,Russian,"Surgeon, poet",L[66]
Will Geer,1902–1978,American,Actor,B[67]
Nathalie Geeris,b. 1971,Dutch,Footballer,L[68]
David Geffen,b. 1943,American,Record executive,G[69]
Kai Gehring,b. 1977,German,Politician,G[70]
Chris Geidner,b. ?[5],American,Journalist,G[71]
Ian Gelder,b. 1949,English,Actor,G[72]
Joe Genaro,b. 1962,American,"Singer, punk rock musician (Dead Milkmen)",G[73]
Jean Genet,1910–1986,French,"Playwright, political activist",G[74]
Kitty Genovese,1935–1964,American,Crime victim,L[75]
Gentleman Reg,b. ?,Canadian,Singer-songwriter,G[76]
Boy George,b. 1961,English,Pop musician (Culture Club),G[77]
Regina George,b. 1991,Nigerian-American,Sprinter,L[78]
Stefan George,1868–1933,German,Poet,G[79]
Nicole Georges,b. 1981,American,"Illustrator, zinester, educator",L[80]
Adam Georgiev,b. 1980,Czech,Poet,G[81]
Chrissy Gephardt,b. ?[5],American,Activist,L[82]
Raphaël Gérard,b. 1968,French,Politician,G[83]
Henry Gerber,1892–1972,German-American,Gay rights activist,G[84]
Rudi Gernreich,1922–1985,Austrian-American,Fashion designer,G[85]
David Gerrold,b. 1944,American,Science fiction writer,G[86]
Masha Gessen,b. 1967,Russian-American,"Journalist, author, activist",L[87]
Malcolm Gets,b. 1963,American,Actor,G[88]
August Getty,b. 1994,American,Fashion designer and founder of the fashion brand August Getty Atelier,G[89]
Nats Getty,b. 1992,American,"Model, socialite, designer, artist, LGBTQ rights activist",L[90]
Henri Ghéon,1875–1944,French,"Playwright, novelist, poet, critic",G[91]
Nicolas Ghesquière,b. 1971,French,Fashion designer,G[92]
Rituparno Ghosh,1963–2013,Indian,"Filmmaker, actor",G[93]
Hyeong-do Gi,1960–1989,Korean,Poet,G[94]
Constantine Giannaris,b. 1959,Greek,Filmmaker,G[95]
Joel Gibb,b. 1977,Canadian,Folk-rock musician (The Hidden Cameras),G[96]
Nick Gibb,b. 1960,English,Politician,G[97]
Jonica T. Gibbs,b. ?[5],American,"Actress, comedian",L[98]
Andrea Gibson,b. 1975,American,"Poet, activist",L[99]
André Gide,1869–1951,French,"Author, Nobel prize winner",G[100]
Elsa Gidlow,1898-1986,British-Canadian-American,"Poet, journalist, philosopher, humanitarian",L[101]
John Gielgud,1904–2000,English,Actor,G[102]
Karl Giese,1898–1938,German,"Archivist, museum curator, partner of Magnus Hirschfeld",G[103]
Rufus Gifford,b. 1974,American,Former ambassador and congressional candidate,G[104]
Elizabeth Gilbert,b. 1969,American,Writer,B[105]
Sara Gilbert,b. 1975,American,Actor,L[106]
Jaime Gil de Biedma,1929–1990,Spanish,Poet,G[107]
"Virginia ""Ginny"" Gilder",b. 1958,American,Rower,L[108]
Peter Gill,b. 1939,Welsh,Playwright,G[22]
Thea Gill,b. 1970,Canadian,Actor,B[109]
Tim Gill,b. 1953,American,"Software entrepreneur, LGBT rights activist",G[110]
Kayne Gillaspie,b. 1979,American,Fashion designer,G[111]
Christopher Gillis,1951–1993,Canadian,"Dancer, choreographer",G[112]
Dan Gillespie Sells,b. 1979,English,Rock musician (The Feeling),G[113]
Ann Louise Gilligan,1945–2017,Irish,Theologian,L[114]
Andrew Gillum,b. 1979,American,Politician,B[115]
Laura Gilpin,1891–1979,American,Photographer,L[116]
Billy Gilman,b. 1988,American,Country singer and activist,G[117]
Joann Ginal,b. ?,American,Politician,L[118]
Rolf Gindorf,1939–2016,German,Sexologist,G[119]
Candace Gingrich,b. 1966,American,LGBT rights activist,L[120]
Jon Ginoli,b. 1959,American,Rock musician (Pansy Division),G[121]
Allen Ginsberg,1926–1997,American,Poet,G[122]
Eitan Ginzburg,b. 1977,Israeli,Politician,G[123]
John Giorno,b. 1936,American,"Poet, performance artist",G[124]
Giovanni di Giovanni,1350–1365,Italian,Hate crime victim,G[125]
Missy Giove,b. 1972,American,Professional mountain biker,L[126]
Barbara Gittings,1932–2007,American,Gay rights activist,L[127]
Hubert de Givenchy,1927–2018,French,Fashion designer,G[128]
Chris Glaser,b. 1977,American,"Christian minister, activist, author",G[129]
Sherry Glaser,b. 1960,American,"Activist, actor",L[130]
Gerald Glaskin,1923–2000,Australian,Writer,G[131]
Todd Glass,b. 1964,American,Stand-up comedian,G[132]
Thomas Glave,b. 1964,American,"Writer, essayist, professor",G[133]
Amber Glenn,b. 1999,American,Figure skater,B[134]
Tyler Glenn,b. 1983,American,"Musician, vocalist (Neon Trees)",G[135]
James Gleeson,1915–2008,Australian,Painter,G[136]
Deborah J. Glick,b. 1950,American,Politician,L[137]
Bogdan Globa,b. 1988,Ukrainian,LGBT rights activist,G[138]
Wilhelm von Gloeden,1856–1931,German,Photographer,G[139]
Todd Gloria,b. 1978,American,Politician,G[140]
John Glover,b. 1944,American,Actor,G[141]
Gluck,1895–1978,English,Painter,L[142]
Connie Glynn,b. 1994,English,"Author, YouTuber","B, A[143][144]"
Hilda Gobbi,1913–1998,Hungarian,Actor,L[145]
God-Des and She (duo),b. ?[5],American,Hip-hop duo,L[146]
Adam Godley,b. 1964,English,Actor,G[147]
Glen Goei,b. 1962,Singaporean,Film and theatre director,G[148]
Karel Goeyvaerts,1923–1993,Belgian,20th century classical composer,G[149]
Michael Goff,b. ?,American,Founder of Out Magazine,G[150]
Theresa Goh,b. 1987,Singaporean,Paralympic swimmer,L[151]
Manvendra Singh Gohil,b. 1965,Indian,Prince of Rajpipla,G[152]
Ari Gold,b. 1974,American,R&B musician,G[153]
Craig Taro Gold,b. 1969,American,Writer and entertainer,G[154]
Judy Gold,b. 1962,American,Comedian,L[155]
Dana Goldberg,b. 1974,American,Comedian,L[156]
Jackie Goldberg,b. 1937,American,Politician,L[157]
Jason Goldberg,b. ?[5],American,Internet entrepreneur,G[158]
Alison Goldfrapp,b. 1966,English,Musician,B[159]
Brett Goldin,1977–2006,South African,Actor,G[160]
Julie Goldman,b. ?,American,Comedian,L[161]
Andrea Goldsmith,b. 1950,Australian,Writer,L[162]
Andrew Goldstein,b. 1983,American,Lacrosse player,G[163]
Oliver Goldstick,b. 1961,American,"Screenwriter, producer",G[164]
Gabriella Goliger,b. ?,Canadian,Writer,L[165]
Filipp Goloshchyokin,1876–1941,Russian,Politician,G[166]
Witold Gombrowicz,1904–1969,Polish,"Author, playwright",B[167]
Marcelo Gomes,b. 1979,Brazilian,Ballet dancer,G[168][169]
Peter Gomes,b. 1942,American,"Baptist preacher, theologian",G[170]
Jewelle Gomez,b. 1948,American,"Writer, cultural worker",L[171]
Marga Gomez,b. 1960,American,Comedian,L[172]
Agustín Gómez-Arcos,1933–1998,Spanish,Author,G[173]
Gongmin of Goryeo,1330–1374,Korean,King during the Goryeo Dynasty,B[174]
Javier Gonzales,b. 1966,American,"Politician; 1st only openly gay mayor of Santa Fe, New Mexico",G[175]
Emma González,b. 1999,American,"Activist, gun control advocate",B[176]
Maya Christina Gonzalez,b. 1964,American,Artist,L[177]
Naomi Gonzalez,b. 1978,American,"Politician, lawyer",L[178]
Rigoberto González,b. 1970,American,Writer,G[179]
Félix González-Torres,1957–1996,Cuban,Artist,G[180]
Noam Gonick,b. 1970,Canadian,"Artist, filmmaker",G[181]
Brad Gooch,b. 1952,American,Writer,G[30]
Paul Goodman,1911–1972,American,Writer,B[157]
Wes Goodman,b. 1984,American,Politician outed after several sex scandals,G[182][183][184]
Agnes Goodsir,1864–1939,Australian,Portrait painter,L[185]
Julie Goodyear,b. 1942,English,Actor,B[186]
Debbie Googe,b. 1962,English,Rock musician (My Bloody Valentine),L[187]
Derrick Gordon,b. 1991,American,College basketball player,G[188]
Peter Gordon,b. 1963,New Zealand,Chef,G[189]
Rich Gordon,b. 1948,American,Politician,G[190]
Lesley Gore,1946–2015,American,Pop musician,L[191]
Eva Gore-Booth,1870–1926,Irish,"Writer, activist",L[192]
Geoffrey Gorer,1905–1985,English,"Anthropologist, author",G[193]
Brad Goreski,b. 1977,American,TV personality,G[194]
Stephanie Gosk,b. 1972,American,"Journalist, correspondent",L[195]
John C. Goss,b. 1958,American,"Artist, writer",G[196]
Tom Goss,b. 1981,American,"Singer-songwriter, actor",G[197]
Deondray Gossett,b. 1973,American,"Producer, director, actor",G[198]
Manuel Luís Goucha,b. 1954,Portuguese,"TV personality, actor, restaurateur",G[199]
Alex Goude,b. 1975,French,"Actor, TV host, theatre director",G[200]
Jason Gould,b. 1966,American,Actor,G[201]
Juan Goytisolo,1931–2017,Spanish,"Author, poet",B[202]
Joseph Grabarz,b. 1956,American,Politician,G[203]
Nickolas Grace,b. 1947,English,Actor,G[204]
Joey Graceffa,b. 1991,American,YouTube Personality,G[205]
Gwendolyn Graham,b. 1963,American,Serial killer,L[206]
Jessica Graham,b. ?,American,Actor,L[207]
Judy Grahn,b. 1940,American,Poet,L[208]
Élisabeth de Gramont,1875–1954,French,Writer,B[209]
Steve Grand,b. 1990,American,Singer,G[210]
Frankie Grande,b. 1983,American,"Actor, dancer, TV personality",G[211]
Michael Grandage,b. 1962,English,Theatre director,G[22]
Fernando Grande-Marlaska,b. 1962,Spanish,"Judge, politician",G[212]
LZ Granderson,b. 1972,American,Sportswriter,G[213]
Farley Granger,1925–2011,American,Actor,B[214]
John Grant,b. 1968,American,Rock musician (The Czars),G[215]
Russell Grant,b. 1951,English,Astrologer,G[216]
Stephen Granville,b. ?[5],British,Pop musician (Bronski Beat),G[217]
Toni Graphia,b. 1961/62,American,"TV writer, producer",L[218]
Stéphane Grappelli,1908–1997,French,Jazz violinist (Quintette du Hot Club de France),G[219]
Mitch Grassi,b. 1992,American,"Singer, songwriter (Pentatonix, Superfruit)",G[220]
Mette Gravholt,b. 1984,Danish,Handball player,L[221]
Eileen Gray,1878–1976,Irish,"Architect, furniture designer",B[222]
Jim Gray,1958–2005,Northern Irish,Northern Ireland Ulster loyalist paramilitary leader,B[223]
Devon Graye,b. 1987,American,Actor,G[61]
Devin K. Grayson,b. ?,American,Comic book writer and novelist,B[224]
Steven Greenberg,b. 1956,American,Orthodox rabbi,G[225]
Harlan Greene,b. 1953,American,Writer,G[226]
Kenny Greene,1969–2001,American,R&B musician (The Intro),G[227]
Robert Joseph Greene,b. 1973,Canadian,Writer,G[228]
Justine Greening,b. 1969,English,Politician,B[229]
Glenn Greenwald,b. 1967,American,Journalist,G[230]
Alex Greenwich,b. 1980,Australian,Politician,G[231]
Pascal Greggory,b. 1954,French,Actor,G[232]
Brian Greig,b. 1966,Australian,Politician,G[233]
Richard Grenell,b. 1966,American,Diplomat,G[234]
Dorien Grey,?–2015,American,Mystery writer,G[235]
Joel Grey,b. 1932,American,Actor,G[236]
Sasha Grey,b. 1988,American,"Actress, writer",B[237]
John Greyson,b. 1960,Canadian,Filmmaker,G[238]
Charles Griffes,1884–1920,American,20th century classical composer,G[149]
Chad Griffin,b. 1973,American,Political strategist,G[239]
Emile Griffith,1938–2013,American,Boxer,B[240]
"Robert ""Bobby"" Griffith",1963–1983[241],American,Gay man whose suicide turned his mother into an LGBT advocate,G[242]
Franco Grillini,b. 1955,Italian,"Politician, LGBT rights activist",G[243]
Brittney Griner,b. 1990,American,Basketball player,L[244]
Inka Grings,b. 1978,German,Footballer,B[245][246][247]
Darren Grimes,b. 1993,English,"Political commentator, activist",G[248]
Angelina Weld Grimke,1880–1958,American,"Journalist, poet",L[249]
Nick Grimshaw,b. 1984,English,"DJ, radio and TV presenter",G.[250][251]
Jim Grimsley,b. 1955,American,"Writer, playwright",G[252]
Pierre Gripari,1925–1990,French,Author,G[253]
GRiZ,b. 1990,American,"DJ, electronic music producer",G[254]
George Grizzard,1928–2007,American,Actor,G[255]
David Groff,b. ?,American,"Poet, author",G[256]
Jonathan Groff,b. 1985,American,Actor,G[257]
Ole Henrik Grønn,b. 1984,Norwegian,Politician,G[258]
Friedrich-Paul von Groszheim,1906–2003,German,WWII concentration camp survivor,G[259]
James Gruber,1928–2011,American,Activist,B[260]
Brett Josef Grubisic,b. 1963,Canadian,Writer,G[261]
Detlef Grumbach,b. 1955,German,"Writer, journalist",G[262]
Luca Guadagnino,b. 1971,Italian,Film director,G[263]
Stephen Guarino,b. 1975,American,"Actor, comedian",G[264]
Guðmundur Ingi Guðbrandsson,b. 1977,Icelandic,"Politician, first Icelandic openly gay male minister",G[265]
Pierre Guénin,1927–2017,French,"Journalist, magazine publisher, gay rights activist",G[266]
Mondo Guerra,b. 1978,American,Fashion designer,G[267]
Thomas Guerra,b. 1985,American,Landscape architect convicted in California of purposefully infecting others with HIV,G[268]
Patrick Guerriero,b. ?,American,Politician,G[269]
Michael E. Guest,b. 1957,American,"Diplomat, Ambassador to Romania",G[270]
Carol Guess,b. 1968,American,Writer,L[271]
Joan Guetschow,b. 1966,American,Biathlete,L[272]
Hervé Guibert,1955–1990,French,Writer,G[273]
Harvey Guillén,b. 1990,American,Actor,G[274]
Alec Guinness,1914–2000,English,Actor,B[275]
Alain Guiraudie,b. 1964,French,"Film director, screenwriter",G[276]
Joe Gulla,b. 1964,American,"Playwright, actor",G[277]
Leo Gullotta,b. 1946,Italian,"Actor, comedian, writer",G[278]
Steve Gunderson,b. 1951,American,Politician,G[279]
Isobel Gunn,1780–1861,Scottish,Laborer who passed as a man,L[280]
Sakia Gunn,1987–2003,American,Teenage murder victim,L[281]
Tim Gunn,b. 1953,American,TV personality,G[282]
Michael Gunning,b. 1994,Jamaican,Swimmer,B[283]
Vikas Gupta,b. 1988,Indian,"TV host, producer, screenwriter",B[284]
Allan Gurganus,b. 1947,American,Writer,G[285]
Prabal Gurung,b. 1975,Nepalese-American,Fashion designer,G[286]
Reed Gusciora,b. 1960,American,Politician,G[287]
Ignacio Gutiérrez,b. 1976,Chilean,Journalist,G[288]
Israel Gutierrez,b. 1977,American,Journalist,G[289]
Víctor Gutiérrez,b. 1991,Spanish,Water polo player,G[290]
Eva Gutowski,b. 1994,American,YouTube personality,B[291]
Amos Guttman,1954–1993,Israeli,Film director,G[292]
Roma Guy,b. 1942,American,LGBT and women's rights activist,L[293]
Lucía Guzmán,b. ?,American,Politician,L[118]
Roland Gwynne,1882–1971,English,"Politician, lover of suspected serial killer John Bodkin Adams",G[294]
Joshua Kadison,b. 1963,American,Pop musician,B[7]
Bart Kaëll,b. 1960,Belgian,"Singer, TV personality",G[8]
Rodney Kageyama,1941–2018,American,Actor,G[9]
Frida Kahlo,1907–1954,Mexican,"Painter, artist",B[10]
Johannes Kahrs,b. 1963,German,Politician,G[11]
Natasha Kai,b. 1983,American,Soccer player,L[12]
Uuno Kailas,1901–1933,Finnish,"Poet, author, translator",G[13]
Charles Kaiser,b. 1950,American,Journalist,G[14]
Florina Kaja,b. 1982,American,Reality TV personality,B[15]
Hilda Käkikoski,1864–1912,Finnish,"Politician, writer",L[16]
Juba Kalamka,b. 1970,American,Musician,B[17]
Chester Kallman,1921–1975,American,Poet,G[18]
Frank Kameny,1925–2011,American,LGBT activist,G[19]
Christian Kampmann,1939–1988,Danish,"Author, journalist",B[20]
Candye Kane,b. 1965,American,"Blues singer, former porn star",B[21]
Firdaus Kanga,b. 1960,Indian-British,"Writer, actor",G[22]
Chris Kanyon,1970–2010,American,Professional wrestler,G[23]
Rebecca Kaplan,b. 1970,American,Politician,B[24] or L[25]
Roberta A. Kaplan,b. 1966,American,Litigator,L[26]
Marnix Kappers,1943–2016,Dutch,"Actor, TV presenter",G[27]
Maud Kaptheijns,b. 1994,Dutch,Cyclo-cross cyclist,L[28]
Alexander Kargaltsev,b. ?[5],Russian-American,"Artist, writer, photographer, actor, film director",G[29]
Pamela S. Karlan,b. 1959,American,Professor of Law,B[30]
Peter Karlsson,1966–1995,Swedish,Ice hockey player,G[31]
Roger Karoutchi,b. 1951,French,Politician,G[32]
Ferdinand Karsch-Haack,1853–1936,German,"Arachnologist, entomologist, sexologist, anthropologist",G[33]
David Kato,c. 1964–2011,Ugandan,LGBT rights activist,G[34]
Carl Katter,b. 1978,Australian,"LGBT rights activist, politician",G[35]
Jonathan Ned Katz,b. 1938,American,Historian,G[36]
Zebra Katz,b.[5],American,"Rapper, producer, multimedia artist",G[37]
Michael Kauch,b. 1967,German,Politician,G[11]
Moisés Kaufman,b. 1963,Venezuelan,"Playwright, director",G[38]
Christine Kaufmann,b. 1951,American,Politician,L[39]
Kathleen Kauth,b. 1979,American,Ice hockey player,L[40]
Ashok Row Kavi,b. 1947,Indian,"Writer, theologian",G[41]
Yoshiko Kawashima,1907–1948,Japanese,Spy,B[42]
Daniel Kawczynski,b. 1972,British,Politician,B[43]
Jackie Kay,b. 1961,Scottish,Writer,L[44]
Gorden Kaye,1941–2017,English,Actor,G[45]
Kaytranada,b. 1992,Haitian-Canadian,Musician,G[46]
Jay Keasling,b. ?[5],American,"Academic administrator, biologist",G[47]
Joe Keenan,b. 1958,American,"Screenwriter, TV producer, novelist",G[48]
Andrew Keenan-Bolger,b. 1985,American,"Actor, writer, director",G[49]
Tommy Keene,b. 1957,American,Rock musician,G[50]
Christine Kehoe,b. 1950,American,Politician,L[51]
Frans Kellendonk,1951–1990,Dutch,"Writer, translator",G[52]
Colby Keller,b. 1980,American,"Visual artist, blogger, pornographic film actor",G[53]
Micah Kellner,b. 1978,American,Politician,B[54]
Chris Kelly,b. 1983,American,"Screenwriter, director",G[55]
Clinton Kelly,b. 1969,American,TV personality,G[56]
Ellsworth Kelly,1923-2015,American,"Painter, sculptor, printmaker",G[57]
George Edward Kelly,1887–1974,American,"Playwright, director, actor",G[58]
Patsy Kelly,1910–1981,American,Actress,L[59]
Randall Kenan,1963–2020,American,Writer,G[60]
Rona Kenan,b. 1979,Israeli,Singer,L[61]
Kate Kendell,b. 1960,American,Activist,L[62]
Johan Kenkhuis,b. 1980,Dutch,Swimmer,G[63]
Bill Kennedy,b. 1966,American,Basketball referee,G[64]
Brian Kennedy,d. 1991,English,Journalist,G[65]
Brian Kennedy,b. 1966,Irish,"Singer-songwriter, musician",G[66]
Emma Kennedy,b. 1967,English,"Actor, writer, TV presenter",L[67]
Helen Kennedy,b. 1958,Canadian,"Politician, activist",L[68]
Sean W. Kennedy,1987–2007,American,Murder victim,G[69]
Keala Kennelly,b. 1978,American,"Surfer, actor",L[70]
Jack Kenny,b. 1958,American,"TV writer, producer",G[71]
Maurice Kenny,1929–2016,American,Poet,G[72]
Gus Kenworthy,b. 1991,American,Freestyle skier,G[73]
Malcolm Kenyatta,b. 1990,American,State Representative of Pennsylvania,G[74]
DJ Keoki,b. 1966,Salvadorean-American,Disc jockey,G[75]
Jim Kepner,1923–1997,American,Archivist,G[76]
Hape Kerkeling,b. 1964,German,"Comedian, actor, TV presenter",G[77]
Sanne van Kerkhof,b. 1987,Dutch,Speed skater,L[78]
Johannes Kerkorrel,1960–2002,South African,Pop musician,G[79]
Keith Kerr,b. 1936,American,United States Army officer,G[80]
Sam Kerr,b. 1993,Australian,Association football player,L[81]
J. Warren Kerrigan,1879–1947,American,Actor,G[82]
Larry Kert,1930–1991,American,"Actor, singer",G[83]
Karl-Maria Kertbeny,1824–1882,Hungarian-Austrian,"Journalist, memoirist, and human rights campaigner (coined terms ""heterosexual"" and ""homosexual"")",G[84]
Kesha,b. 1987,American,Singer-songwriter,B[85]
Hans Kesting,b. 1960,Dutch,Actor,G[86]
Emma Kete,b. 1987,New Zealand,Footballer,L[87]
Maya Keyes,b. 1985,American,Political activist,L[88]
John Maynard Keynes,1883–1946,English,Economist,G[89]
Sarah Keyworth,b. 1993,English,Stand-up comedian,L[90]
Bhupen Khakhar,1934–2003,Indian,Artist,G[91]
El-Farouk Khaki,b. 1963,Canadian,Lawyer and activist,G[92]
